"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"208","0.1","1.0E-6","1.08","1","0","0.99","1.0E-4","4.0E-7","1","20561","0.9127064249132527"
"211","0.1","1.0E-6","0.9","1","0","1","1.0E-4","4.0E-7","1","5858","0.12823903745019916"
"213","0.1","1.0E-6","0.92","1","0","1","1.0E-4","4.0E-7","1","5197","0.16150272666173143"
"212","0.1","1.0E-6","0.91","1","0","1","1.0E-4","4.0E-7","1","5500","0.14392422267259927"
"214","0.1","1.0E-6","0.93","1","0","1","1.0E-4","4.0E-7","1","4957","0.18119124871579245"
"215","0.1","1.0E-6","0.94","1","0","1","1.0E-4","4.0E-7","1","4796","0.20322629124183011"
"217","0.1","1.0E-6","0.96","1","0","1","1.0E-4","4.0E-7","1","4408","0.2553774487090097"
"216","0.1","1.0E-6","0.95","1","0","1","1.0E-4","4.0E-7","1","4322","0.22786377867721785"
"218","0.1","1.0E-6","0.97","1","0","1","1.0E-4","4.0E-7","1","4629","0.2860553369173239"
"210","0.1","1.0E-6","1.1","1","0","0.99","1.0E-4","4.0E-7","1","23440","0.970787027146625"
"219","0.1","1.0E-6","0.98","1","0","1","1.0E-4","4.0E-7","1","5185","0.3201933315499077"
"220","0.1","1.0E-6","0.99","1","0","1","1.0E-4","4.0E-7","1","5759","0.35808424304782316"
"221","0.1","1.0E-6","1","1","0","1","1.0E-4","4.0E-7","1","6249","0.40000000000000924"
"222","0.1","1.0E-6","1.01","1","0","1","1.0E-4","4.0E-7","1","6907","0.44616326425746144"
"223","0.1","1.0E-6","1.02","1","0","1","1.0E-4","4.0E-7","1","7399","0.4967026580304698"
"209","0.1","1.0E-6","1.09","1","0","0.99","1.0E-4","4.0E-7","1","22720","0.948463860546428"
"225","0.1","1.0E-6","1.04","1","0","1","1.0E-4","4.0E-7","1","8996","0.6104928854207887"
"224","0.1","1.0E-6","1.03","1","0","1","1.0E-4","4.0E-7","1","8148","0.5515824865431022"
"226","0.1","1.0E-6","1.05","1","0","1","1.0E-4","4.0E-7","1","10123","0.6726801445916659"
"229","0.1","1.0E-6","1.08","1","0","1","1.0E-4","4.0E-7","1","15920","0.8590057932838978"
"228","0.1","1.0E-6","1.07","1","0","1","1.0E-4","4.0E-7","1","13531","0.8000605923579122"
"232","0.1","1.0E-6","0.9","1","0","1.01","1.0E-4","4.0E-7","1","6441","0.11569677296442268"
"227","0.1","1.0E-6","1.06","1","0","1","1.0E-4","4.0E-7","1","11603","0.7366947319026423"
"230","0.1","1.0E-6","1.09","1","0","1","1.0E-4","4.0E-7","1","18486","0.9087903009339452"
"233","0.1","1.0E-6","0.91","1","0","1.01","1.0E-4","4.0E-7","1","5353","0.1297133009781239"
"236","0.1","1.0E-6","0.94","1","0","1.01","1.0E-4","4.0E-7","1","4443","0.18263991420853243"
"231","0.1","1.0E-6","1.1","1","0","1","1.0E-4","4.0E-7","1","20602","0.9455303310911298"
"237","0.1","1.0E-6","0.95","1","0","1.01","1.0E-4","4.0E-7","1","4565","0.20461457592485457"
"235","0.1","1.0E-6","0.93","1","0","1.01","1.0E-4","4.0E-7","1","5035","0.16298228988920785"
"238","0.1","1.0E-6","0.96","1","0","1.01","1.0E-4","4.0E-7","1","4116","0.22915585218098816"
